project,target,configuration,hash,code,status,start,end
create-new-project,build,,8541333670166444401,0,success,1721044708377,1721044711750
create-new-project,build,,6939381601546911360,0,success,1721044750821,1721044753829
create-new-project,build,,7308790884623162320,0,success,1721044764683,1721044767556
create-new-project,build,,5269202832245249798,0,success,1721044779974,1721044783067
@cc-infra/edge-ioc,build,,17426714274770665931,0,success,1721044913028,1721044914932
@cc-infra/edge-ioc,build,,17426714274770665931,0,success,1721044913031,1721044915008
@cc-infra/edge-ioc-adapter-express,build,,312294348303891791,0,success,1721044915009,1721044917117
@cc-infra/eslint-config,dopublish,,4543910701995378554,0,success,1721044911498,1721044914798
@cc-infra/edge-ioc,dopublish,,12787678262412908038,0,success,1721044911498,1721044917669
@cc-infra/edge-ioc-adapter-express,dopublish,,16530014774074067358,0,success,1721044911498,1721044919961
@cc-infra/edge-ioc,build,,3461422008926549206,0,success,1721046844743,1721046846956
@cc-infra/edge-ioc,build,,3461422008926549206,0,success,1721046844746,1721046846846
@cc-infra/edge-ioc-adapter-express,build,,1098162222460744987,0,success,1721046846847,1721046849167
@cc-infra/eslint-config,dopublish,,4543910701995378554,1,failure,1721046843173,1721046845097
@cc-infra/edge-ioc,dopublish,,2693279866802651698,1,failure,1721046843173,1721046848402
@cc-infra/edge-ioc-adapter-express,dopublish,,15836140737023013852,0,success,1721046843173,1721046851594
